帯,47.0,0.8489,帯
ヘアスタイル,146.0,0.8705,ヘアセット,ヘアケア,ヘアスタイル,髪飾り
着付け,62.0,0.8532,着付け
着物,417.0,0.8703,浴衣,着物レンタル,着物の選択肢,着物
写真スポット,10.0,0.9000,写真スポット
散策,12.0,0.9083,散策
八坂神社,19.0,0.6632,八坂神社
お店,40.0,0.7875,お店
はちみつさん,26.0,0.9423,はちみつさん
店員,127.0,0.9134,店員
スタッフ,99.0,0.9414,スタッフ
親切な対応,18.0,0.9667,親切な対応
看板犬チロ,19.0,0.9263,看板犬チロ
可愛い,12.0,0.9333,可愛い
ムード,17.0,0.8353,ムード
満足度,15.0,0.9733,満足度
バッグ,13.0,0.7692,バッグ
小物,20.0,0.8250,小物
仕上げ,11.0,0.8818,仕上げ
写真,37.0,0.8432,写真
プラン,17.0,0.7118,プラン
価格,21.0,0.7095,価格
利便性,12.0,0.8667,利便性
予約,11.0,0.7818,予約
体験,13.0,0.9154,体験
レンタル,33.0,0.8212,レンタル
返却,10.0,0.8300,返却
カップル,10.0,0.8600,カップル
思い出,28.0,0.9571,思い出
清水寺,20.0,0.6850,清水寺
対応,20.0,0.9300,対応
