五大虚空蔵菩薩,5.0,0.6000,五大虚空蔵菩薩
薬師如来,11.0,0.7364,薬師如来
仏教美術,6.0,0.7833,仏教美術
国宝,6.0,0.8167,国宝
拝観,10.0,0.2200,拝観
高山寺,8.0,0.5375,高山寺
お寺,35.0,0.5686,お寺
紅葉,95.0,0.7126,紅葉
バス,14.0,-0.1786,バス停,バス
JRバス,5.0,-0.2200,JRバス
高雄,10.0,0.4600,高雄
嵐山,6.0,0.4000,嵐山
静かさ,7.0,0.6286,静かさ
景色,22.0,0.7500,景観,景色
ライトアップ,8.0,0.7000,ライトアップ
新緑,6.0,0.8333,新緑
茶屋,11.0,0.3636,茶屋
橋,4.0,0.6500,橋
歴史的建造物,4.0,0.7250,歴史的建造物
コスト,4.0,0.5750,コスト
混雑,6.0,-0.1667,混雑
駐車場,9.0,-0.0667,駐車場
かわらけ投げ,32.0,0.6344,かわらけ投げ
厄除け,4.0,0.4500,厄除け
階段,34.0,-0.3412,階段
石段,20.0,-0.1300,石段
和気清麻呂,6.0,0.3667,和気清麻呂
寺院の建物,8.0,0.5625,寺院の建物
道,8.0,-0.0875,道
門,5.0,0.5200,門
川,8.0,0.5375,川
金堂,8.0,0.5875,金堂
境内,11.0,0.7455,境内
