先生,11.0,0.9273,先生
指導,8.0,0.8125,指導
教え方,25.0,0.9120,教え方
子供,11.0,0.7546,息子,子供
ホスト,4.0,0.8250,ホスト
料金,5.0,0.5200,料金
価格,11.0,0.8455,価格
親切,13.0,0.9462,親切
おすすめ,4.0,0.9500,おすすめ
顧客対応,4.0,0.8500,顧客対応
支援,5.0,0.8600,支援
出来上がり,10.0,0.8300,出来上がり
時間,12.0,0.7500,時間
配送,4.0,0.5500,配送
スタッフ,6.0,0.8000,スタッフ
体験,27.0,0.8815,体験
思い出,10.0,0.9300,思い出
楽しむ,5.0,0.9600,楽しむ
エプロン,4.0,0.7500,エプロン
夕日ヶ浦温泉,3.0,0.7667,夕日ヶ浦温泉
雰囲気,3.0,0.5667,雰囲気
鉢,3.0,0.6333,鉢
皿,7.0,0.6429,皿
お茶碗,7.0,0.7000,湯飲み,お茶碗
色,3.0,0.7333,色
絵付け,13.0,0.6385,絵付け
ろくろ,21.0,0.6715,ろくろ
電動ろくろ,9.0,0.5111,電動ろくろ
陶芸,43.0,0.7372,陶芸,粘土
土,6.0,0.5000,土
工房,17.0,0.8647,工房
職人技,4.0,0.3000,職人技
焼き上がり,10.0,0.5900,焼き上がり
作品,22.0,0.8136,作品
完成度,6.0,0.8333,完成度
