浄土真宗本願寺派,44.0,0.5659,浄土真宗本願寺派
お寺,144.0,0.7590,お寺
寺院,21.0,0.6238,寺院
本堂,98.0,0.7000,本堂
仏教,18.0,0.7056,仏教
本願寺,21.0,0.7000,本願寺
東本願寺,61.0,0.4492,東本願寺
お坊さん,33.0,0.7121,お坊さん
参拝,35.0,0.6743,参拝
拝観料,44.0,0.7636,拝観料
読経,34.0,0.6265,読経
静けさ,28.0,0.8571,静けさ
ロケーション,27.0,0.7333,ロケーション
雰囲気,43.0,0.7767,雰囲気
サイズ,28.0,0.6929,サイズ
広さ,20.0,0.7600,広さ
廊下,26.0,0.6500,廊下
庭園と墓地,20.0,0.7550,庭園と墓地
門,122.0,0.7648,唐門,門
建物,93.0,0.7753,建物
境内,112.0,0.6964,敷地,境内
歴史,31.0,0.7839,歴史
国宝,34.0,0.9059,国宝
世界遺産,55.0,0.8618,世界遺産
飛雲閣,36.0,0.4250,飛雲閣
ツアーガイド,22.0,0.7000,ツアーガイド
駐車場,25.0,0.6880,駐車場
駅からのアクセス,32.0,0.5594,駅からのアクセス
お西さんを知ろう,18.0,0.7000,お西さんを知ろう
書院,22.0,0.4591,書院
新撰組,28.0,0.6536,新撰組
早朝,48.0,0.7500,早朝
イチョウ,55.0,0.8000,銀杏の木,イチョウ
