桜,44.0,0.7705,枝垂れ桜,桜
立砂,40.0,0.6025,立砂
下鴨神社,43.0,0.4837,下鴨神社
小川,24.0,0.6833,小川
川,13.0,0.7385,川
世界遺産,34.0,0.8324,世界遺産
歴史,11.0,0.7636,歴史
屋根の葺き替え,10.0,0.5200,屋根の葺き替え
境内,67.0,0.6806,境内,敷地
バス,41.0,0.0805,バス
駐車場,16.0,0.1875,駐車場
混雑,11.0,-0.0091,混雑
焼き餅,13.0,0.5231,焼き餅
手作り市,14.0,0.7286,手作り市
雰囲気,26.0,0.7077,雰囲気
静かさ,11.0,0.7909,静かさ
結婚式,13.0,0.6692,結婚式
空間,15.0,0.5200,空間
アクセス,16.0,0.1250,アクセス
神社,85.0,0.7083,神社,神社建築
特別拝観・参拝・拝願,14.0,0.6286,特別拝観・参拝・拝願
参拝,25.0,0.5600,参拝
鳥居,15.0,0.5533,鳥居
本殿,39.0,0.5051,本殿,権殿
門,20.0,0.6950,門
式年遷宮,16.0,0.3875,式年遷宮
おみくじ,16.0,0.6937,おみくじ
馬,42.0,0.5524,馬
神職,25.0,0.5040,神職者,神職
厄除け,15.0,0.7533,厄除け
葵祭,28.0,0.5929,葵祭
