忍者,329.0,0.7240,忍者衣装,忍者コスプレ,忍者,忍者ショー,忍者体験,忍者アカデミー
小学生と幼児,11.0,0.6818,小学生と幼児
子供,64.0,0.7703,子どもたち,子供
家族連れ,35.0,0.7600,家族連れ
嬉野温泉,32.0,0.5500,嬉野温泉
坂,9.0,-0.6000,坂
雰囲気,12.0,0.4000,雰囲気
大人,19.0,0.4579,大人
入場券,44.0,-0.0909,入場券
観光客,13.0,0.1077,観光客
スタッフ,42.0,0.6786,スタッフ
トイレ設備,12.0,-0.5500,トイレ設備
建物,26.0,-0.3808,建物
施設,53.0,-0.2830,施設
園内,11.0,0.0273,園内
掃除,15.0,-0.7933,掃除
イベント,9.0,0.3000,イベント
アトラクション,22.0,0.0864,アトラクション
テーマパーク,27.0,0.5333,テーマパーク
展示,11.0,-0.4182,展示
手裏剣,72.0,0.6889,手裏剣
迷路,9.0,0.3333,迷路
お化け,9.0,0.2778,お化け
からくり屋敷,16.0,0.4937,からくり屋敷
大道芸,15.0,0.6267,大道芸
写真撮影,22.0,0.6000,写真撮影
レンタル衣装,10.0,0.5400,レンタル衣装
吹き矢,49.0,0.7102,吹き矢,弓矢
体験,12.0,0.5250,体験
占い,22.0,0.7727,占い
探し,10.0,0.7600,探し
