間欠泉,31.0,0.5484,間欠泉
温泉,215.0,0.7144,温泉,温泉施設
地獄,220.0,0.5868,地獄谷,地獄
花火,28.0,0.7750,花火
鬼,23.0,0.6217,鬼火祭り,鬼
匂い,15.0,0.0800,匂い
硫黄,136.0,0.0323,硫黄,硫黄臭,硫黄の匂い
煙,86.0,0.4326,煙,湯気
自然,42.0,0.8429,自然
景色,66.0,0.7924,景色
雰囲気,24.0,0.6333,雰囲気
幻想的,11.0,0.9000,幻想的
迫力,38.0,0.7211,迫力
散策,53.0,0.6226,散策,散歩コース
遊歩道,67.0,0.4687,遊歩道,坂道
ホテル・旅館,19.0,0.3947,ホテル・旅館
駐車場,36.0,0.1306,駐車場
大湯沼,28.0,0.6429,大湯沼
紅葉,15.0,0.7133,紅葉
子供,15.0,0.4267,子供
ライトアップ,20.0,0.8150,ライトアップ
道,14.0,0.1786,道
記念写真,15.0,0.4733,記念写真
外国人観光客,55.0,0.1109,外国人観光客,観光客
