家族,15.0,0.8333,家族連れ,家族向け
子供,76.0,0.7158,子供
生態と進化,11.0,0.8000,生態と進化
生きた化石,8.0,0.6750,生きた化石
水槽,11.0,0.5909,水槽
展示,24.0,0.6916,展示
料金,5.0,0.3400,料金
入場,6.0,0.5167,入場
博物館,71.0,0.6873,博物館
アスレチック,5.0,0.6600,アスレチック
施設内,5.0,0.6800,施設内
施設,21.0,0.6571,施設
広さ,6.0,0.7667,広さ
アクセス,6.0,0.5000,アクセス
遊び場,13.0,0.6231,遊び場
公園,44.0,0.6932,公園
楽しさ,8.0,0.9125,楽しさ
自由研究,6.0,0.8167,自由研究
教育,6.0,0.7667,教育
写真撮影,5.0,0.7400,写真撮影
家族,6.0,0.9333,家族
説明文,6.0,0.6833,説明文
大人,12.0,0.5250,大人
恐竜,124.0,0.7371,恐竜公園,恐竜の模型,恐竜
カブトガニ,255.0,0.7333,カブトガニ
