籠,17.0,0.7353,灯籠,石灯籠
レンタルサービス,6.0,0.5667,レンタルサービス
サイクリング,10.0,0.4400,サイクリング
駐車場,29.0,0.4483,駐車場
駅,13.0,0.5077,駅
結婚式,10.0,0.8100,結婚式
陶器,7.0,0.7143,陶器
狛犬,9.0,0.7000,狛犬
静かさ,6.0,0.8000,静かさ
雰囲気,22.0,0.7891,雰囲気
池,21.0,0.4952,池
境内,15.0,0.5267,境内
混雑,7.0,-0.5143,混雑
歴史的な場所,10.0,0.7800,歴史的な場所
神社,104.0,0.6683,神社
丘陵地形,7.0,0.1714,丘陵地形
磐座,6.0,0.5167,磐座
階段,7.0,0.2714,階段
建築物,7.0,0.6571,建築物
通路,6.0,0.6833,通路
参道,6.0,0.6167,参道
吉備津神社,146.0,0.6579,吉備津神社
桃,47.0,0.6660,桃太郎,桃
鳥居,10.0,0.6500,鳥居
本殿,46.0,0.5804,本殿
正月,9.0,0.2111,正月
初詣,37.0,0.6784,初詣
厄除け,6.0,0.6500,厄除け
おみくじ,15.0,0.7133,おみくじ
御朱印,9.0,0.5556,御朱印
お守り,13.0,0.6692,お守り
