雰囲気,55.0,0.8073,雰囲気
お土産,17.0,0.5588,お土産
写真撮影,18.0,0.8278,写真撮影
猫,15.0,0.8400,猫
回廊,277.0,0.7422,回廊
パワースポット,27.0,0.8630,パワースポット
散歩,20.0,0.6750,散歩
階段,46.0,-0.0043,階段
参道,15.0,0.6133,参道
交通機関,43.0,0.1581,交通機関
駐車場,73.0,0.4466,駐車場
屋根,22.0,0.6636,屋根
歴史,19.0,0.7947,歴史
建築物,29.0,0.7690,建築物
鳴釜神事,47.0,0.5064,鳴釜神事
弓道,18.0,0.7111,弓道
門,18.0,0.2611,門
桃太郎,51.0,0.6608,桃太郎
桜の名所,15.0,0.9533,桜の名所
紫陽花,33.0,0.8182,紫陽花
イチョウ,18.0,0.8278,イチョウ
吉備津,42.0,0.7238,吉備津彦命,吉備津造り
神社,213.0,0.7760,神社
備中国一宮,15.0,0.6267,備中国一宮
国宝,31.0,0.9516,国宝
御釜殿,33.0,0.5424,御釜殿
本殿,145.0,0.8090,本殿,社殿
参拝,89.0,0.6011,参拝者,参拝,初詣
お祓い,15.0,0.7067,お祓い
御朱印,17.0,0.7000,御朱印
お守り,16.0,0.7062,お守り
おみくじ,37.0,0.6297,おみくじ
