混雑,112.0,-0.5179,人の多さ,混雑,渋滞
賑やかさ,17.0,0.5176,賑やかさ
楽しむ,18.0,0.8944,楽しむ
雰囲気,22.0,0.7364,雰囲気
縁結び・縁切り,27.0,0.7037,縁結び・縁切り
お守り,37.0,0.6622,お守り
新年,72.0,0.3097,新年,正月
三が日,15.0,-0.1067,三が日
日常,14.0,0.3857,日常
節分,13.0,0.7231,節分
屋台,44.0,0.7273,屋台
せんべい,23.0,0.8522,せんべい
祈祷,18.0,0.6611,祈祷
くじ,21.0,0.3762,くじ
仁王像,16.0,0.5625,仁王像
境内,20.0,0.6500,境内
奥の院,16.0,0.5500,奥の院
ご利益,12.0,0.8167,ご利益
道,37.0,-0.2351,行列,道
参拝,217.0,0.5221,初詣,参拝,参拝者
本殿,39.0,0.5692,本殿
寺院,17.0,0.5118,寺院
鳥居,56.0,0.7321,鳥居,大鳥居
日本三大稲荷,80.0,0.7312,日本三大稲荷
神社,55.0,0.7491,神社
お土産屋,49.0,0.6286,お土産屋
商売,14.0,0.6286,商売
お店,91.0,0.5473,お店,出店
駐車,96.0,-0.0656,駐車料金,駐車場
車,15.0,-0.3267,車
参道,61.0,0.4279,参道
階段,26.0,-0.2038,階段
