露天風呂,46.0,0.6848,お風呂,露天風呂
棚田の湯,4.0,0.5000,棚田の湯
たまの湯,8.0,0.3750,たまの湯
お湯,11.0,-0.1636,お湯
温泉,48.0,0.4146,温泉
温泉の質,8.0,0.2875,温泉の質
入浴料金,5.0,-0.1200,入浴料金
タオル,7.0,0.2143,タオル
サウナ,11.0,0.4364,サウナ
食事,25.0,0.4600,食事
宿泊施設,19.0,-0.1368,レストラン,宿泊施設
ご飯,8.0,0.4250,ご飯
懐石料理,7.0,0.7286,懐石料理
玉乃膳,5.0,-0.1000,玉乃膳
施設,20.0,0.7050,施設
館内着,8.0,0.1750,館内着
館内,9.0,0.6667,館内
休憩,22.0,0.6409,休憩所,休憩エリア
くつろぎ,6.0,0.3000,くつろぎ
雰囲気,10.0,0.7300,雰囲気
清潔感,11.0,0.8818,清潔感
曜日と時間帯,5.0,0.0800,曜日と時間帯
漫画,4.0,0.6000,漫画
宇野港,8.0,0.4625,宇野港
景色,19.0,0.6948,景色,景観
接客スタッフ,24.0,-0.0833,接客スタッフ,顧客対応
子供,4.0,-0.2000,子供
家族連れ,8.0,0.2000,家族連れ
フロントスタッフ,5.0,-0.1000,フロントスタッフ
女性,4.0,-0.4250,女性
値段,19.0,-0.5316,値段
料金,16.0,-0.4875,料金
飲み物,8.0,0.4000,飲み物,ドリンク
自動販売機,6.0,-0.8000,自動販売機
