美術館,197.0,0.7264,美術,美術館
絵,128.0,0.6945,絵画,絵,写真
名画,99.0,0.7909,名画,壁画
陶板,47.0,0.5872,陶板
展示,68.0,0.6853,展示品,展示
有名な作品,18.0,0.7722,有名な作品
作品,78.0,0.6833,作品数,作品
本物,14.0,0.5286,本物
レプリカ,34.0,0.3853,レプリカ
解説,20.0,0.7350,解説
ガイド,69.0,0.7188,音声ガイド,ボランティアガイド,ガイド
ツアー,23.0,0.5391,ツアー
サイズ,17.0,0.7882,サイズ
広,52.0,0.5423,広い,広さ
時間,38.0,0.2263,時間
移動手段,14.0,0.4071,移動手段
駐車場,39.0,0.0538,駐車場
雰囲気,14.0,0.8143,雰囲気
感動,12.0,0.8417,感動
見どころ,14.0,0.8214,見どころ
子供,13.0,0.3077,子供
鑑賞,15.0,0.6800,鑑賞
お土産ショップ,18.0,0.3944,お土産ショップ
ランチ,13.0,0.4462,ランチ
食事,14.0,0.3643,食事
カフェ,46.0,0.4500,カフェ,レストランやカフェ
教会,13.0,0.8615,教会
システィーナ礼拝堂,40.0,0.8800,システィーナ礼拝堂
館内,44.0,0.5386,館内
入場料,77.0,-0.2364,入場料
モネの作品とモナリザ,28.0,0.7857,モネの作品とモナリザ
大塚,35.0,0.8429,大塚
最後の晩餐,17.0,0.8471,最後の晩餐
シャトルバス,49.0,0.4143,シャトルバス
