スリル,82.0,0.6585,スリル
楽しさ,16.0,0.7625,楽しさ
怖い,22.0,-0.6364,怖い
高所恐怖症,35.0,-0.6943,高所恐怖症
恐怖,11.0,-0.6636,恐怖
揺れ,27.0,-0.4556,揺れ
大歩危小歩危,15.0,0.3400,大歩危小歩危
観光客,35.0,0.0486,観光客
駐車場,54.0,0.1259,駐車場
バス,13.0,0.1846,バス
通行,15.0,-0.4200,通行
交通規制,11.0,-0.2182,交通規制
お土産屋,11.0,0.2364,お土産屋
高さ,24.0,-0.1042,高さ
滝,34.0,0.6382,滝,琵琶の滝
空,12.0,0.8417,空
紅葉,17.0,0.6000,紅葉
自然,31.0,0.7484,自然
景色,74.0,0.7270,景色
子供,26.0,0.0885,子供
混雑,12.0,-0.4833,混雑
家族,11.0,0.4727,家族
料金,21.0,-0.2762,料金
体験,15.0,0.6733,体験
行列管理,14.0,-0.3643,行列管理
ライトアップ,15.0,0.5933,ライトアップ
スニーカー,11.0,0.4727,スニーカー
鮎の塩焼き,17.0,0.8059,鮎の塩焼き
水,12.0,0.8333,水
川,66.0,0.4864,川
渓谷,17.0,0.7000,渓谷
秘境,14.0,0.2357,秘境
祖谷,25.0,0.6720,祖谷
隙間,22.0,-0.5182,隙間
足元,26.0,-0.4385,足元
渡る,13.0,0.1231,渡る
かずら橋,379.0,0.2069,吊り橋,橋,かずら橋
