食事場所,27.0,0.2481,食事場所
饅頭,14.0,0.5857,饅頭
温泉,141.0,0.6837,温泉まんじゅう,温泉
こんにゃく,20.0,0.7400,こんにゃく
焼き物,12.0,0.7583,焼き物
駄菓子屋,249.0,0.2273,店,お土産屋さん,駄菓子屋
昭和,14.0,0.4714,昭和
宿泊,32.0,0.3594,宿泊施設,宿泊
散歩,32.0,0.6532,散歩,散策
石畳,19.0,0.4947,石畳
石段,313.0,0.3368,階段,石段
ライトアップ,12.0,0.7917,ライトアップ
街並み,19.0,0.6474,街並み
駐車場,21.0,-0.1190,駐車場
射的,107.0,0.4963,射的
弓矢,17.0,0.6059,弓矢
景色,39.0,0.7513,景色
紅葉,17.0,0.7176,紅葉
神社,83.0,0.6060,神社,伊香保神社
子供連れ,18.0,0.4556,子供連れ
雰囲気,54.0,0.7222,雰囲気
輪投げ,14.0,0.6714,輪投げ
飲泉所,12.0,0.4917,飲泉所
足湯,76.0,0.6671,足湯
