景色,171.0,0.8831,山々の風景,景色
山,23.0,0.7000,山
穂高連峰,33.0,0.7303,穂高連峰
散策,35.0,0.7257,散策
道,40.0,0.5125,道
ハイキング・トレッキング,35.0,0.7057,ハイキング・トレッキング
水,31.0,0.8355,水
川,127.0,0.7827,川,梓川
明神池,197.0,0.6746,明神池,大正池
田代,15.0,0.5933,田代
焼岳,22.0,0.8545,焼岳
河童橋,156.0,0.7006,河童橋
雨,14.0,-0.1000,雨
天気,59.0,0.4102,天気
温度,15.0,0.2400,温度
自然,83.0,0.9060,自然
星空,14.0,0.6571,星空
空気,69.0,0.8942,空気
涼しさ,20.0,0.8000,涼しさ
猿,14.0,0.5214,猿
鳥のさえずり,18.0,0.8222,鳥のさえずり
緑,28.0,0.8321,緑
紅葉,40.0,0.6150,紅葉
バス,67.0,0.1552,バス
マイカー規制,20.0,0.0850,マイカー規制
タクシー,23.0,0.4652,タクシー
駐車場,19.0,0.0053,駐車場
混雑,16.0,-0.3125,混雑
