木,47.0,0.7702,木
御神木,50.0,0.7740,御神木,大きな木
楠,70.0,0.8471,楠
幹,10.0,0.7300,幹
建築物,10.0,0.4300,建築物
アクセス,10.0,0.7300,アクセス
坂道,22.0,-0.2818,坂道
混雑,22.0,-0.2182,混雑
駐車場,52.0,0.0038,駐車場
駅,11.0,0.5818,駅
雰囲気,15.0,0.8200,雰囲気
空気,13.0,0.8077,空気
大きさ,12.0,0.6917,大きさ
迫力,42.0,0.8119,迫力,パワー
自然,17.0,0.8941,自然
静かさと癒し,17.0,0.7647,静かさと癒し
お守り,39.0,0.7359,お守り
ご利益,15.0,0.5533,ご利益
生命力,21.0,0.7524,生命力,寿命
歴史,11.0,0.7545,歴史
落ち葉のハート,10.0,0.7600,落ち葉のハート
ライトアップ,12.0,0.8500,ライトアップ
お参り,26.0,0.5000,お参り,参拝
神社,180.0,0.6322,神社,来宮神社,神社建築
鳥居,16.0,0.5688,鳥居
境内,15.0,0.5733,境内
写真スポット,32.0,0.6469,スマホ撮影台,写真スポット
熱海,72.0,0.4486,熱海
パワースポット,74.0,0.8081,パワースポット
外国人観光客,11.0,0.2727,外国人観光客
喫茶店,82.0,0.6708,喫茶店,カフェ
