天気,18.0,0.5222,天気
季節,31.0,0.7484,季節,四季折々
桜,59.0,0.8407,桜
花,12.0,0.7417,花
紅葉,48.0,0.7375,紅葉
ライトアップ,34.0,0.8353,ライトアップ
鯉,44.0,0.6614,鯉
松,46.0,0.8326,松
木々,17.0,0.7647,木々
緑,21.0,0.8190,緑
蓮,14.0,0.7714,蓮
池,44.0,0.6750,池
お茶・カフェ,51.0,0.6157,お茶・カフェ
うどん,18.0,0.6333,うどん
日本庭園,42.0,0.8262,日本三大庭園,日本庭園
公園,267.0,0.7974,庭園,公園,園内
広さ,34.0,0.6029,広さ
船頭さん,12.0,0.6083,船頭さん
船,37.0,0.5081,船
景色,90.0,0.9033,景色
清潔感,15.0,0.8200,清潔感
雰囲気,21.0,0.8190,雰囲気
自然,20.0,0.8250,自然
月亭,12.0,0.8250,月亭
店,13.0,0.5923,店
ボランティアガイド,28.0,0.7964,ボランティアガイド
外国人観光客,16.0,0.3000,外国人観光客
子供連れ,17.0,0.5706,子供連れ
手入れ,27.0,0.7963,手入れ
散歩,50.0,0.7480,散策,散歩
入場,13.0,0.3846,入場
駐車場,22.0,-0.1227,駐車場
