屋台,19.0,0.7053,屋台
市場,35.0,0.4286,市場
店,81.0,0.5617,店,お店
フードコート,25.0,0.4360,フードコート
居酒屋,38.0,0.5368,飲食店,居酒屋
地元の食べ物,53.0,0.5943,地元の人,地元の食べ物
お土産,47.0,0.6596,お土産
席,63.0,-0.2746,席
座席予約,26.0,-0.3500,座席予約
テーブル,21.0,-0.0286,テーブル
座る場所,13.0,-0.5462,座る場所
さ,46.0,0.8804,楽しさ,美味しさ
雰囲気,55.0,0.5673,雰囲気
活気,23.0,0.8652,活気
混雑,56.0,-0.5518,混雑
価格,28.0,0.4607,価格
駐車場,20.0,0.0800,駐車場
グルメ,14.0,0.8857,グルメ
明神丸,37.0,0.6757,明神丸
タタキ,150.0,0.8474,かつおのたたき,藁焼きカツオのたたき,塩タタキ
カツオ,15.0,0.8200,カツオ
ビール,33.0,0.6636,ビール
お酒,37.0,0.6351,お酒
昼食,35.0,0.6086,昼食,食事
食べる,32.0,0.6000,食べる
料理,22.0,0.6591,料理
餃子,24.0,0.7208,餃子
海鮮,24.0,0.6917,海鮮
天ぷら,12.0,0.8750,天ぷら
唐揚げ,17.0,0.6882,唐揚げ
