るり工房,4
田沢湖,985
乳頭温泉郷,599
角館武家屋敷通り,1073
小安峡,244
男鹿真山伝承館,341
道の駅 あきた港 ポートタワー・セリオン,621
あきた芸術村,37
なまはげ館,467
十和田湖(秋田県小坂町),700
玉川温泉・新玉川温泉,330
男鹿水族館GAO,603
山のはちみつ屋,546
寒風山(秋田県男鹿市),301
蟹場温泉(乳頭温泉郷),207
田沢湖遊覧船,25
国重要文化財「小坂鉱山事務所」,97
リゾートしらかみ,266
ゴジラ岩,300
秋田駅ビル トピコ&アルス,529
ANAクラウンプラザホテル秋田,51
道の駅 十文字 まめでらが〜,200
入道崎,385
千秋公園,498
後生掛温泉,162
グリランド RIB Trip,645
道の駅 おがち 小町の郷,129
抱返り渓谷,268
神宮寺観光果樹園,11
秋田市大森山動物園〜あきぎんオモリンの森〜,286
秋田市民市場,191
八森いさりび温泉 ハタハタ館,56
発荷峠展望台・発荷峠第2展望台,111
黒湯温泉(乳頭温泉郷),145
ドレスリゾートこわくび,16
森林工芸館,6
齋藤農園 梨ノ木,1
妙乃湯(乳頭温泉郷),207
リフレッシュ・スパ クォード,0
川原毛地獄,83
秋田県産品プラザ あきたの,181
秋田市民俗芸能伝承館(ねぶり流し館),207
道の駅 おおゆ,5
日本の滝100選「七滝」,124
たつこ像,382
田沢湖アウトドアツアー,18
元滝伏流水,114
小安峡大噴湯,81
秋田県立美術館,215
武家屋敷「石黒家」,81
船沢温泉,9
仙北市田沢湖観光情報センター「フォレイク」,14
十和田湖の紅葉,69
角館樺細工伝承館,28
小坂鉄道レールパーク,36
角館歴史村・青柳家,108
史跡尾去沢鉱山,145
新玉川温泉,185
おものがわ温泉 雄川荘,2
皆瀬観光物産館,235
横手公園(秋田県横手市),41
道の駅 象潟 ねむの丘,362
秋田大学【国際資源学部附属】 鉱業博物館,14
由利高原鉄道,96
赤れんが郷土館,114
秋田ふるさと村,452
ふれあいセンターかまくら館,114
唐松神社,25
道の駅 ふたつい きみまちの里,29
奥山旅館,25
須川湖キャンプ場,10
大館能代空港,19
奈曽の白滝,6
おおだて陶芸工房 鳳凰窯,2
玉川温泉自然研究路,45
松本家(秋田県仙北市),19
秋田市観光案内所,21
めだか分校 体験教室,5
秋田城跡(高清水公園),31
セリオンリスタ,43
秋田犬会館,98
道の駅 清水の里・鳥海郷,12
入道埼灯台,152
金峰神社,5
久保田城跡,148
大湯環状列石,49
不衒窯(フゲンガマ),5
岩城温泉 港の湯,36
大湯沼(秋田県鹿角市),66
道の駅 うご,13
仙北市観光情報センター「角館駅前蔵」,31
岩橋家,20
武家屋敷の樹々,8
古城山城址,11
横手駅前温泉 ゆうゆうプラザ,46
道の駅 たかのす 世界一の大太鼓の里,27
横手市増田まんが美術館,93
あきた角館西宮家,99
蚶満寺,13
河原田家,24
道の駅かづの あんとらあ,103
道の駅 しょうわ ブルーメッセあきた,98
国重要文化財「明治の芝居小屋 康楽館」,99
須川湖(秋田県東成瀬村),14
源泉秘湯の宿 ふけの湯,84
八望台展望台,39
寒風山回転展望台,32
道の駅 こさか七滝,30
南郷(夢)温泉 共林荘 ,8
道の駅 みねはま おらほの館,6
さなづら本舗福寿,6
白瀬南極探険隊記念館,20
露天風呂 水沢温泉,16
秋田国際ダリア園,11
抱返神社,9
親子キャンプ場,4
秋田市雄和観光交流館「ヴィラフローラ」,3
森岳八幡神社,2
西木観光案内所,2
道の駅 かみおか 茶屋っこ一里塚,15
八望台,10
獅子ヶ鼻湿原,6
夏瀬温泉,4
鹿角八坂神社,2
アキタサゴローファーム,1
達子森公園,1
小安山荘民宿よし川,1
シラタマノキ湿原泥炭地,1
花立牧場公園(鳥海高原)子供の国,5
森林資料館(五城目城),9
岨谷峡,6
伏伸の滝,8
鹿角トレーニングセンター・アルパス,3
鹿角市総合運動公園,1
一里塚(秋田県湯沢市),17
手づくり工房湧子ちゃん,8
真山遊歩道,5
雀館公園,4
浜館公園展望台,2
田舎ぐらし大学みたね,1
須賀神社(秋田県羽後町),52
八塩いこいの森,23
鎧神社,17
須川温泉(栗駒山荘),98
法体の滝,56
道の駅美郷,55
鳥海山&奈曽の白滝,24
八幡平大沼遊歩道,17
岳岱自然観察教育林,12
ふるさと温泉ユアシス,92
